SL no,S/C No.,Name,Address,Phase,Meter Number ,Service Connection number
87,4116,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914507,95790074116
88,4117,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914508,95790074117
89,4118,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914509,95790074118
90,4119,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914510,95790074119
91,4120,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914991,95790074120
92,4121,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914992,95790074121
93,4122,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914993,95790074122
94,4123,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-403,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914994,95790074123
95,4124,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-404,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914995,95790074124
96,4125,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-501,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914996,95790074125
97,4126,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-502,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914997,95790074126
98,4127,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-503,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914998,95790074127
99,4128,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-504,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914999,95790074128
100,4129,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-601,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6915000,95790074129
101,4130,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-602,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913331,95790074130
102,4131,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-603,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913332,95790074131
103,4132,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-604,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913333,95790074132
104,4133,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-701,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913334,95790074133
105,4134,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-702,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913335,95790074134
106,4135,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-703,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913336,95790074135
107,4136,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-704,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913337,95790074136
108,4137,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-801,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913338,95790074137
109,4138,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-802,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913339,95790074138
110,4139,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-803,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913340,95790074139
111,4140,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-804,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912011,95790074140
112,4141,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-901,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912012,95790074141
113,4142,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-902,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912013,95790074142
114,4143,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-903,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912014,95790074143
115,4144,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-904,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912015,95790074144
116,4145,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1001,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912016,95790074145
117,4146,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1002,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912017,95790074146
118,4147,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,casa C-1003e,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Red",3,6912018,95790074147
119,4148,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1004,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912019,95790074148
